major,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
art,117,101,109,120,112,97,77,74,79,93
art_gen,103,92,101,106,99,88,68,66,66,68
art_history,14,9,8,14,13,9,9,8,13,9
graphic_design,0,0,0,0,0,0,0,0,0,16
asian,33,34,49,48,13,15,15,12,14,7
bio,219,207,215,225,243,258,274,287,258,224
bio_gen,199,184,189,201,215,230,240,258,233,206
biotech,15,16,13,13,18,16,17,14,8,6
occ_therapy,5,7,13,10,10,10,16,15,17,12
business,499,518,542,537,511,498,490,518,511,514
accountancy,115,120,129,141,131,112,120,125,124,121
business_gen,294,300,303,304,289,308,311,348,335,340
grp_busmath,2,2,1,1,1,3,3,2,3,2
grp_buscas,82,92,103,90,84,66,27,5,2,2
orgcomm,0,0,0,0,0,8,28,37,47,49
grpsocsci,6,5,6,1,6,1,1,1,0,0
chem,70,68,69,77,95,104,112,135,164,158
chem_gen,33,29,30,28,38,44,41,48,44,26
chem_bio,37,39,39,49,57,60,71,87,120,132
classics,27,22,32,30,27,31,20,21,18,19
classical_studies,10,13,16,15,9,8,8,9,6,8
classical_languages,6,1,5,6,9,7,4,5,6,5
greek,4,3,4,6,7,10,2,3,2,2
latin,7,5,7,3,2,6,6,4,4,4
cas,367,404,409,376,347,327,336,388,400,383
cas_gen,66,60,53,34,20,11,8,8,13,11
speech_path,54,69,68,79,78,98,129,180,181,177
film_media,109,121,117,114,113,92,85,89,73,56
strat_comm,25,33,36,32,31,27,34,48,53,62
theatre,17,20,24,18,15,17,20,12,17,14
digcomm,14,9,8,9,6,8,6,9,14,12
cs,119,98,78,82,81,81,80,109,127,138
cs_gen,71,63,47,47,54,53,53,79,94,107
is,34,26,23,26,21,20,21,21,19,19
econ,27,34,38,34,44,37,34,36,36,48
edu,717,654,586,624,608,650,618,527,532,551
elementaryed,363,330,298,298,287,268,257,239,247,253
specialed,64,64,65,64,65,64,57,61,60,62
secondaryed,354,324,288,326,321,310,282,234,234,228
graded,0,0,0,0,0,72,79,54,51,70
engr,332,348,353,359,366,364,356,372,419,438
engr_gen,151,173,199,204,207,214,132,112,130,118
engr_chem,21,19,20,18,19,24,33,51,51,54
engr_civ,51,53,50,56,54,40,58,63,67,71
engr_ee,41,43,40,26,28,28,46,47,54,70
engr_me,68,60,44,55,58,58,87,99,117,125
eng,177,192,195,202,198,188,192,202,178,180
eng_gen,177,192,195,202,198,188,130,67,47,42
linguistics,0,0,0,0,0,0,8,20,24,21
lit,0,0,0,0,0,0,22,49,44,47
writing,0,0,0,0,0,0,32,66,63,70
french,33,37,46,39,26,28,24,25,27,35
geo,38,48,42,43,35,43,60,72,70,82
env_geo,3,2,1,1,0,1,1,3,2,2
env_sci,14,20,14,15,14,15,18,19,9,18
env_stud,0,0,0,0,0,0,11,19,28,25
geo_gen,11,15,15,16,12,12,13,14,19,22
geog,9,11,12,11,9,15,17,17,12,15
germ,25,17,17,10,53,54,60,58,60,65
germdutch,25,17,17,10,13,15,19,18,16,17
chinese,0,0,0,0,0,15,22,20,22,30
japanese,0,0,0,0,0,24,19,20,22,18
history,151,135,121,113,104,96,90,89,73,80
idis,44,32,27,31,33,40,34,20,25,16
intldev,14,134,101,93,82,76,79,68,74,76
pe,127,134,136,134,164,157,179,200,240,248
kin_gen,0,0,0,0,0,0,5,130,184,190
physed,86,91,97,106,132,131,98,39,12,0
recreation,41,43,39,28,32,26,26,31,44,58
math,62,69,63,72,70,82,77,82,86,83
music,67,74,83,72,62,47,55,59,63,70
music_gen,55,65,67,60,53,41,44,46,39,46
music_ed,12,9,16,12,9,6,11,13,24,24
nursing,272,281,304,319,316,280,287,272,293,287
phil,61,61,74,78,76,78,65,74,64,49
phys,30,26,33,31,37,31,32,30,23,20
polisci,146,111,124,99,121,123,132,111,101,95
polisci_gen,110,84,75,60,66,67,63,54,44,40
ir,34,23,47,38,53,56,69,57,57,55
pa,2,4,2,1,2,0,0,0,0,0
psych,215,191,174,169,191,225,226,217,211,217
ph,0,0,0,0,0,0,0,9,28,34
religion,67,57,63,57,65,60,56,49,42,37
soc,193,178,153,158,157,152,162,143,130,155
soc_gen,48,58,52,50,43,48,49,43,31,31
socwork,145,120,101,108,114,104,113,100,99,124
spanish,120,123,131,162,157,136,149,138,123,126
undecided,524,523,501,453,364,308,231,216,210,145
