category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
total,4189,4199,4224,4171,4092,3991,3967,4008,4034,3993
ftiac,1007,1027,1039,936,945,935,961,977,1006,951
transfer,101,92,85,92,110,100,106,108,101,75
ahana,227,235,268,268,293,388,452,474,523,523
international,312,315,305,323,338,346,376,403,407,425
crc,2041,2020,1986,1942,1879,1788,1686,1609,1511,1434
michigan,2253,2228,2206,2174,2181,2134,2112,2119,2078,2048
othergreatlakes,660,706,738,732,709,658,620,643,677,677
female,2274,2264,2279,2274,2211,2131,2113,2161,2224,2211
male,1915,1935,1945,1897,1881,1860,1854,1847,1810,1782
topscholarship,1874,1926,1918,1826,1915,1991,2050,2272,2374,2336
alumnikids,1548,1589,1616,1604,1570,1561,1502,1441,1408,1361
