,2000,2001,2002,2003,2004,2005,2006,2007,2008,
ahana,70.6,54.9,59,63.2,72.6,56.1,64,58.3,53.4,
international,67.9,86.5,79.5,74.2,58.6,81.5,78.1,60.5,73.5,
overall,74.5,73.4,75.4,74.6,76.5,76.4,76.8,72.5,73.6,
,,,,,,,,,,
retention,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
overall,87.7,87.8,88.6,85.9,85.7,87,86.5,85.5,87.4,87.4
ahana,85.5,78.9,78,82.2,80.8,80.4,82.6,80.3,80,75.9
international,93.1,96.3,87.5,81,91.2,92.7,84.2,96.2,87.8,91.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ahana,22,23,23,28,32,32,31,30,24,27
female,98,98,104,104,111,108,110,105,103,96
male,211,213,218,216,215,211,202,197,188,179
total,309,311,322,320,326,319,312,302,291,275
