category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
intl_admit,118,117,141,166,137,157,170,183,188,149,268
intl_enroll,64,60,76,91,84,91,84,99,110,85,104
AHANA_admit,121,150,135,181,191,232,309,359,354,476,494
AHANA_enroll,62,57,50,73,73,93,109,152,115,158,147
CHS_admit,848,1015,1043,1089,1004,1071,1074,1066,1115,1165,1098
CHS_enroll,527,580,604,644,535,536,531,541,533,558,490
Scholarship_admit,1053,1294,1584,1749,1683,1798,1825,1821,2117,2343,2276
Scholarship_enroll,534,625,739,814,748,714,727,711,845,858,815
FTIAC_admit,1687,2104,2173,2169,2039,2346,2368,2395,2478,2792,2691
FTIAC_enroll,902,1007,1027,1039,936,945,935,961,977,1006,951
